m0_mark_price,m0_oracle_price,m0_bid_price,m0_ask_price,m0_wouldbe_peg,m0_wouldbe_peg_cost,m0_predicted_long_funding,m0_predicted_short_funding,m0_last_mid_price_twap,m0_repeg_to_oracle_cost,m0_market_index,m0_initialized,m0_base_asset_amount_long,m0_base_asset_amount_short,m0_number_of_users,m0_margin_ratio_initial,m0_margin_ratio_partial,m0_margin_ratio_maintenance,m0_next_fill_record_id,m0_next_funding_rate_record_id,m0_next_curve_record_id,m0_unsettled_profit,m0_unsettled_loss,m0_padding0,m0_padding1,m0_padding2,m0_padding3,m0_padding4,m0_base_asset_amount,m0_oracle_source,m0_last_oracle_price,m0_last_oracle_conf_pct,m0_last_oracle_delay,m0_last_oracle_normalised_price,m0_last_oracle_price_twap,m0_last_oracle_price_twap_ts,m0_last_oracle_mark_spread_pct,m0_base_asset_reserve,m0_quote_asset_reserve,m0_sqrt_k,m0_peg_multiplier,m0_terminal_quote_asset_reserve,m0_base_asset_amount_with_amm,m0_base_asset_amount_with_unsettled_lp,m0_quote_asset_amount_long,m0_quote_asset_amount_short,m0_cumulative_funding_payment_per_lp,m0_cumulative_fee_per_lp,m0_cumulative_base_asset_amount_with_amm_per_lp,m0_lp_cooldown_time,m0_user_lp_shares,m0_last_funding_rate,m0_last_funding_rate_ts,m0_funding_period,m0_cumulative_funding_rate_long,m0_cumulative_funding_rate_short,m0_cumulative_repeg_rebate_long,m0_cumulative_repeg_rebate_short,m0_mark_std,m0_last_mark_price_twap,m0_last_mark_price_twap_ts,m0_minimum_quote_asset_trade_size,m0_base_asset_amount_step_size,m0_base_spread,m0_long_spread,m0_short_spread,m0_max_spread,m0_ask_base_asset_reserve,m0_ask_quote_asset_reserve,m0_bid_base_asset_reserve,m0_bid_quote_asset_reserve,m0_last_bid_price_twap,m0_last_ask_price_twap,m0_long_intensity_count,m0_long_intensity_volume,m0_short_intensity_count,m0_short_intensity_volume,m0_curve_update_intensity,m0_total_fee,m0_total_mm_fee,m0_total_exchange_fee,m0_total_fee_minus_distributions,m0_total_fee_withdrawn,m0_net_revenue_since_last_funding,m0_fee_pool,m0_last_update_slot,m0_strategies,m0_last_spread,m0_bid_price_before,m0_ask_price_before,m0_total_lp_shares,m0_amm_lp_shares,multiple-openclose0_collateral,multiple-openclose0_free_collateral,multiple-openclose0_margin_ratio,multiple-openclose0_total_position_value,multiple-openclose0_total_fee_paid,multiple-openclose0_total_fee_rebate,multiple-openclose0_open_orders,multiple-openclose0_cumulative_deposits,multiple-openclose0_total_collateral,timestamp,multiple-liquidity-provider1_collateral,multiple-liquidity-provider1_free_collateral,multiple-liquidity-provider1_margin_ratio,multiple-liquidity-provider1_total_position_value,multiple-liquidity-provider1_total_fee_paid,multiple-liquidity-provider1_total_fee_rebate,multiple-liquidity-provider1_open_orders,multiple-liquidity-provider1_cumulative_deposits,multiple-liquidity-provider1_total_collateral,multiple-openclose0_m0_user_index,multiple-openclose0_m0_base_asset_amount,multiple-openclose0_m0_quote_asset_amount,multiple-openclose0_m0_last_cumulative_funding_rate,multiple-openclose0_m0_last_funding_rate_ts,multiple-openclose0_m0_lp_shares,multiple-openclose0_m0_lp_base_asset_amount,multiple-openclose0_m0_lp_quote_asset_amount,multiple-openclose0_m0_last_cumulative_funding_rate_lp,multiple-openclose0_m0_last_cumulative_fee_per_lp,multiple-openclose0_m0_last_cumulative_base_asset_amount_with_amm_per_lp,multiple-openclose0_m0_lp_funding_payments,multiple-openclose0_m0_lp_fee_payments,multiple-openclose0_m0_market_fee_payments,multiple-openclose0_m0_market_funding_payments,multiple-openclose0_m0_total_baa,multiple-openclose0_m0_upnl,multiple-openclose0_m0_upnl_noslip,multiple-openclose0_m0_ufunding
2.191688,2.191688852625319,2.191688,2.191688,2191.688,0.0,-1.6209442735052208e-10,-1.6209442735052208e-10,2.191688,0.0,0,True,0,0.0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,2.191688852625319,0,0,2.191688852625319,2.191688852625319,0,0,367621000000000,367621000000000,367621000000000,2191688,367621000000000,0.0,0,0,0,0,0.0,0.0,0,0,0,0,3600,0,0,0,0,0.0,2.191688,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,2.191688,2.191688,367621000000000,367621000000000,35194234.0,35194234.0,,0.0,0,0,0,35194234,35194234.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.191688,2.191688852625319,2.191688,2.191688,2191.688,0.0,-1.6209442735052208e-10,-1.6209442735052208e-10,2.191688,0.0,0,True,0,0.0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,2.191688852625319,0,0,2.191688852625319,2.191688852625319,0,0,367621000000000,367621000000000,367621000000000,2191688,367621000000000,0.0,0,0,0,0,0.0,0.0,0,0,0,0,3600,0,0,0,0,0.0,2.191688,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,2.191688,2.191688,367621000000000,367621000000000,35194234.0,35194234.0,,0.0,0,0,0,35194234,35194234.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.191688,1.0,2.191688,2.191688,2191.688,0.0,-1.6209442735052208e-10,-1.6209442735052208e-10,2.191688,0.0,0,True,0,0.0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,2.191688852625319,0,0,2.191688852625319,2.191688852625319,0,0,367621000000000,367621000000000,367621000000000,2191688,367621000000000,0.0,0,0,0,0,0.0,0.0,0,0,0,0,3600,0,0,0,0,0.0,2.191688,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,2.191688,2.191688,367621000000000,367621000000000,35194234.0,35194234.0,,0.0,0,0,0,35194234,35194234.0,2,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,,,,,,,,,,,,,,
2.191688,1.0,2.191688,2.191688,2191.688,0.0,-1.6209442735052208e-10,-1.6209442735052208e-10,2.191688,0.0,0,True,0,0.0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,2.191688852625319,0,0,2.191688852625319,2.191688852625319,0,0,367621000000000,367621000000000,367621000000000,2191688,367621000000000,0.0,0,0,0,0,0.0,0.0,0,0,0,0,3600,0,0,0,0,0.0,2.191688,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,2.191688,2.191688,367621000000000,367621000000000,35194234.0,35194234.0,,0.0,0,0,0,35194234,35194234.0,3,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,,,,,,,,,,,,,,
2.191688,1.0,2.191688,2.191688,2191.688,0.0,-1.6209442735052208e-10,-1.6209442735052208e-10,2.191688,0.0,0,True,0,0.0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,2.191688852625319,0,0,2.191688852625319,2.191688852625319,0,0,367621000000000,367621000000000,367621000000000,2191688,367621000000000,0.0,0,0,0,0,0.0,0.0,0,0,0,0,3600,0,0,0,0,0.0,2.191688,0,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,,0,2.191688,2.191688,367621000000000,367621000000000,35194234.0,35194234.0,,0.0,0,0,0,35194234,35194234.0,4,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,,,,,,,,,,,,,,
2.1914965339774364,1.5211046762301947,2.1914965339774364,2.1914965339774364,2191.688,-0.0,-1.6209442735052208e-10,-1.6209442735052208e-10,2.191688,35169809.70695283,0,True,0,-16058750783.0,1,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,1.5211046762301947,0,0,2.191688852625319,2.191688852625319,19,0,367637058750783,367604941950679,367621000000000,2191688,367621000000000,-16058750783.0,0,0,35194234,0,0.09573510218404281,-4.368289837359672e-05,0,0,0,0,3600,0,0,0,0,0.0,2.191688,19,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.035194234,0,0,0.035194234000000005,0,0,0,0,,0,2.191688,2.191688,367621000000000,367621000000000,35159039.766,31639615.266033128,0.9989999432026354,35194234.999969885,0,0,0,35194234,35159038.76603012,19,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,0.0,-16058750783.0,35194234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35194.234,0.0,0.0,-0.9999698847532272,35194269.19269668,-0.0
2.191688,1.2774576349978588,2.191688,2.191688,2191.688,0.0,-2.3287223629080937e-10,-2.3287223629080937e-10,2.191688,-0.0,0,True,0,0.0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,1.5211046762301947,0,0,2.191688852625319,2.191688852625319,19,0,367621000000000,367621000000000,367621000000000,2191688,367621000000000,0.0,0,0,0,0,0.1914702070881965,0.0,0,0,0,0,3600,0,0,0,0,0.0,2.1916876277049564,26,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.0703884689999699,0,0,0.0703884689999699,0,0,0,0,,0,2.1914965339774364,2.1914965339774364,367621000000000,367621000000000,35123844.53103015,35123844.53103015,,0.0,0,0,0,35194234,35123844.53103015,26,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,,,,,,,,,,,,,,
2.191688,1.943510217084409,2.191688,2.191688,2191.688,0.0,-2.3287223629080937e-10,-2.3287223629080937e-10,2.191688,-131466974.56845888,0,True,0,0.0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,1.5211046762301947,0,0,2.191688852625319,2.191688852625319,19,0,367681037572671,367681037572671,367681037572671,2191688,367621000000000,0.0,0,0,0,0,0.1914702070881965,0.0,0,0,0,0,3600,0,0,0,0,0.0,2.1916876277049564,26,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.0703884689999699,0,0,0.0703884689999699,0,0,0,0,,0,2.1914965339774364,2.1914965339774364,367681037572671,367621000000000,35123844.53103015,35123844.53103015,,0.0,0,0,0,35194234,35123844.53103015,35,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,,,,,,,,,,,,,,
2.191688,2.3821536162117667,2.191688,2.191688,2191.688,0.0,-2.3287223629080937e-10,-2.3287223629080937e-10,2.191688,-131440618.07405631,0,True,0,0.0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,1.5211046762301947,0,0,2.191688852625319,2.191688852625319,19,0,367681037572671,367681037572671,367681037572671,2191688,367621000000000,0.0,0,0,0,0,0.1914702070881965,0.0,0,0,0,0,3600,0,0,0,0,0.0,2.1916876277049564,26,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.0703884689999699,0,0,0.0703884689999699,0,0,0,0,,0,2.1914965339774364,2.1914965339774364,367681037572671,367621000000000,35123844.53103015,35123844.53103015,,0.0,0,0,0,35194234,35123844.53103015,40,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,,,,,,,,,,,,,,
2.191688,2.13702357146434,2.191688,2.191688,2191.688,0.0,-2.3287223629080937e-10,-2.3287223629080937e-10,2.191688,-0.0,0,True,0,0.0,0,1000,500,625,0,0,0,0,0,0,0,0,0,0,0,0,1.5211046762301947,0,0,2.191688852625319,2.191688852625319,19,0,367621000000000,367621000000000,367621000000000,2191688,367621000000000,0.0,0,0,0,0,0.1914702070881965,0.0,0,0,0,0,3600,0,0,0,0,0.0,2.1916876277049564,26,0,0,0,0,0,0,367621000000000,367621000000000,367621000000000,367621000000000,2.191688,2.191688,0,0,0,0,0,0.0703884689999699,0,0,0.0703884689999699,0,0,0,0,,0,2.1914965339774364,2.1914965339774364,367621000000000,367621000000000,35123844.53103015,35123844.53103015,,0.0,0,0,0,35194234,35123844.53103015,51,10000000000000.0,10000000000000.0,,0.0,0.0,0.0,0.0,10000000000000.0,10000000000000.0,,,,,,,,,,,,,,,,,,,
