,price
0,0.5
1,0.525
2,0.55125
3,0.5788125000000001
4,0.6077531250000001
5,0.6381407812500002
6,0.6700478203125002
7,0.7035502113281252
8,0.7387277218945315
9,0.7756641079892581
10,0.814447313388721
11,0.8551696790581571
12,0.897928163011065
13,0.9428245711616183
14,0.9899657997196993
15,1.0394640897056844
16,1.0914372941909687
17,1.1460091589005172
18,1.203309616845543
19,1.2634750976878202
20,1.3266488525722113
21,1.392981295200822
22,1.4626303599608632
23,1.5357618779589064
24,1.612549971856852
25,1.6931774704496945
26,1.7778363439721792
27,1.8667281611707882
28,1.9600645692293277
29,2.058067797690794
30,2.1580677976907943
31,2.2580677976907944
32,2.3580677976907944
33,2.4580677976907945
34,2.5580677976907946
35,2.6580677976907947
36,2.758067797690795
37,2.858067797690795
38,2.958067797690795
39,3.058067797690795
40,3.158067797690795
41,3.2580677976907952
42,3.3580677976907953
43,3.4580677976907954
44,3.5580677976907955
45,3.6580677976907956
46,3.7580677976907957
47,3.8580677976907958
48,3.958067797690796
49,4.0580677976907955
50,4.158067797690795
51,4.258067797690795
52,4.358067797690794
53,4.458067797690794
54,4.558067797690794
55,4.658067797690793
56,4.758067797690793
57,4.858067797690793
58,4.958067797690792
59,5.058067797690792
60,5.158067797690792
61,5.258067797690791
62,5.358067797690791
63,5.4580677976907905
64,5.55806779769079
65,5.65806779769079
66,5.7580677976907895
67,5.858067797690789
68,5.958067797690789
69,6.058067797690788
70,6.158067797690788
71,6.258067797690788
72,6.358067797690787
73,6.458067797690787
74,6.558067797690787
75,6.658067797690786
76,6.758067797690786
77,6.858067797690786
78,6.958067797690785
79,7.058067797690785
80,7.1580677976907845
81,7.258067797690784
82,7.358067797690784
83,7.458067797690783
84,7.558067797690783
85,7.658067797690783
86,7.758067797690782
87,7.858067797690782
88,7.958067797690782
89,8.058067797690782
90,8.158067797690782
91,8.258067797690781
92,8.358067797690781
93,8.45806779769078
94,8.55806779769078
95,8.65806779769078
96,8.75806779769078
97,8.85806779769078
98,8.958067797690779
99,9.058067797690779
100,9.158067797690778
101,9.258067797690778
102,9.358067797690778
103,9.458067797690777
104,9.558067797690777
105,9.658067797690777
106,9.758067797690776
107,9.858067797690776
108,9.958067797690775
109,10.058067797690775
110,10.158067797690775
111,10.258067797690774
112,10.358067797690774
113,10.458067797690774
114,10.558067797690773
115,10.658067797690773
116,10.758067797690773
117,10.858067797690772
118,10.958067797690772
119,11.058067797690772
120,11.158067797690771
121,11.25806779769077
122,11.35806779769077
123,11.45806779769077
124,11.55806779769077
125,11.65806779769077
126,11.758067797690769
127,11.858067797690769
128,11.958067797690768
129,12.058067797690768
130,12.158067797690768
131,12.258067797690767
132,12.358067797690767
133,12.458067797690767
134,12.558067797690766
135,12.658067797690766
136,12.758067797690765
137,12.858067797690765
138,12.958067797690765
139,13.058067797690764
140,13.158067797690764
141,13.258067797690764
142,13.358067797690763
143,13.458067797690763
144,13.558067797690763
145,13.658067797690762
146,13.758067797690762
147,13.858067797690762
148,13.958067797690761
149,14.05806779769076
150,14.15806779769076
151,14.25806779769076
152,14.35806779769076
153,14.45806779769076
154,14.558067797690759
155,14.658067797690759
156,14.758067797690758
157,14.858067797690758
158,14.958067797690758
159,15.058067797690757
160,15.158067797690757
161,15.258067797690757
162,15.358067797690756
163,15.458067797690756
164,15.558067797690756
165,15.658067797690755
166,15.758067797690755
167,15.858067797690754
168,15.958067797690754
169,16.058067797690754
170,16.158067797690755
171,16.258067797690757
172,16.358067797690758
173,16.45806779769076
174,16.55806779769076
175,16.658067797690762
176,16.758067797690764
177,16.858067797690765
178,16.958067797690767
179,17.058067797690768
180,17.15806779769077
181,17.25806779769077
182,17.358067797690772
183,17.458067797690774
184,17.558067797690775
185,17.658067797690777
186,17.758067797690778
187,17.85806779769078
188,17.95806779769078
189,18.058067797690782
190,18.158067797690784
191,18.258067797690785
192,18.358067797690786
193,18.458067797690788
194,18.55806779769079
195,18.65806779769079
196,18.758067797690792
197,18.858067797690794
198,18.958067797690795
199,19.058067797690796
200,19.158067797690798
201,19.2580677976908
202,19.3580677976908
203,19.458067797690802
204,19.558067797690804
205,19.658067797690805
206,19.758067797690806
207,19.858067797690808
208,19.95806779769081
209,20.05806779769081
210,20.158067797690812
211,20.258067797690813
212,20.358067797690815
213,20.458067797690816
214,20.558067797690818
215,20.65806779769082
216,20.75806779769082
217,20.858067797690822
218,20.958067797690823
219,21.058067797690825
220,21.158067797690826
221,21.258067797690828
222,21.35806779769083
223,21.45806779769083
224,21.558067797690832
225,21.658067797690833
226,21.758067797690835
227,21.858067797690836
228,21.958067797690838
229,22.05806779769084
230,22.15806779769084
231,22.258067797690842
232,22.358067797690843
233,22.458067797690845
234,22.558067797690846
235,22.658067797690848
236,22.75806779769085
237,22.85806779769085
238,22.958067797690852
239,23.058067797690853
240,23.158067797690855
241,23.258067797690856
242,23.358067797690858
243,23.45806779769086
244,23.55806779769086
245,23.65806779769086
246,23.758067797690863
247,23.858067797690865
248,23.958067797690866
249,24.058067797690867
250,24.15806779769087
251,24.25806779769087
252,24.35806779769087
253,24.458067797690873
254,24.558067797690875
255,24.658067797690876
256,24.758067797690877
257,24.85806779769088
258,24.95806779769088
259,25.05806779769088
260,25.158067797690883
261,25.258067797690885
262,25.358067797690886
263,25.458067797690887
264,25.55806779769089
265,25.65806779769089
266,25.75806779769089
267,25.858067797690893
268,25.958067797690894
269,26.058067797690896
270,26.158067797690897
271,26.2580677976909
272,26.3580677976909
273,26.4580677976909
274,26.558067797690903
275,26.658067797690904
276,26.758067797690906
277,26.858067797690907
